FACTOR_ERROR,2017-06-06,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
ENZ,2014-01-03,"[-2, 0)","Prices are constant in this duration, not useful"
OIIM,2012-05-03,"[-60, -30)",the Event Date does not exist in its price file
OIIM,2012-05-03,"[-2, 0)",the Event Date does not exist in its price file
MSFT,2009-04-08,"[-2, 0)","Prices are constant in this duration, not useful"
SUPN,2012-06-22,"[-60, -30)",Not enough price data for this duration
AMPH,2011-10-28,"[-60, -30)",the Event Date does not exist in its price file
AMPH,2011-10-28,"[-2, 0)",the Event Date does not exist in its price file
AAPL,2016-12-15,"[-2, 0)","Prices are constant in this duration, not useful"
AAPL,2017-06-23,"[-60, -30)",the Event Date does not exist in its price file
AAPL,2017-06-23,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
GMED,2009-10-27,"[-60, -30)",the Event Date does not exist in its price file
GMED,2009-10-27,"[-2, 0)",the Event Date does not exist in its price file
OIIM,2011-03-03,"[-60, -30)",the Event Date does not exist in its price file
OIIM,2011-03-03,"[-2, 0)",the Event Date does not exist in its price file
HELE,2012-10-29,"[-60, -30)",the Event Date does not exist in its price file
HELE,2012-10-29,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2012-10-29,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-10-29,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-10-29,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-10-29,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-10-29,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-10-29,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-10-29,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-10-29,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
BOX,2015-02-13,"[-60, -30)",Not enough price data for this duration
AAPL,2017-06-12,"[-60, -30)",the Event Date does not exist in its price file
AAPL,2017-06-12,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-12,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
CSCO,2017-06-01,"[-60, -30)",the Event Date does not exist in its price file
CSCO,2017-06-01,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
CDW,2008-11-19,"[-60, -30)",the Event Date does not exist in its price file
CDW,2008-11-19,"[-2, 0)",the Event Date does not exist in its price file
