Stock_Ticker,Decision_Date
CSCO,"August 22, 2014"
WMT,"July 16, 2009"
WHR,"January 8, 2016"
NKE,"June 18, 2008"
LLY,"April 14, 2016"
ENZ,"January 3, 2014"
SUPN,"April 4, 2017"
JKHY,"March 31, 2016"
NTGR,"March 4, 2011"
MMM,"June 29, 2010"
DCI,"June 11, 2010"
WHR,"August 4, 2016"
FBC,"May 17, 2010"
SPLS,"July 29, 2015"
NKE,"May 17, 2013"
FNSR,"January 10, 2014"
MON,"August 3, 2011"
MSFT,"May 8, 2013"
COH,"February 22, 2012"
MMM,"May 13, 2011"
MMM,"May 13, 2010"
MON,"June 17, 2010"
MON,"November 20, 2008"
EXTR,"November 10, 2011"
AAPL,"June 20, 2014"
NKE,"March 22, 2012"
ITW,"November 18, 2013"
MPWR,"May 3, 2012"
HAS,"March 9, 2011"
NKE,"September 3, 2008"
LLY,"August 22, 2016"
MON,"March 27, 2009"
PH,"May 25, 2011"
MON,"March 14, 2014"
WHR,"August 8, 2016"
BBRY,"February 23, 2015"
POWI,"January 26, 2011"
SUPN,"June 22, 2012"
WHR,"April 14, 2016"
CTXS,"September 26, 2014"
PFE,"February 16, 2010"
PH,"March 17, 2011"
AAPL,"January 3, 2014"
LLY,"December 2, 2011"
WHR,"July 26, 2016"
BBRY,"June 9, 2015"
MON,"August 21, 2008"
TEX,"January 29, 2014"
MON,"January 15, 2009"
AMRI,"June 2, 2010"
BHI,"September 11, 2009"
GGG,"November 22, 2016"
WHR,"January 22, 2016"
MON,"February 17, 2010"
FMC,"January 6, 2010"
NTAP,"September 25, 2014"
NTAP,"April 15, 2015"
WHR,"March 11, 2010"
SNPS,"November 12, 2010"
CTXS,"April 28, 2008"
WHR,"November 4, 2016"
PH,"August 4, 2008"
ABBV,"July 15, 2014"
WHR,"March 10, 2017"
ABT,"September 30, 2011"
DCI,"October 2, 2012"
CIX,"October 4, 2010"
POWI,"March 4, 2014"
GE,"May 3, 2011"
AMGN,"December 28, 2009"
DECK,"June 20, 2014"
JNJ,"February 22, 2010"
BSX,"May 11, 2011"
LLY,"March 21, 2011"
AAPL,"June 23, 2017"
AMGN,"January 5, 2017"
WHR,"January 27, 2016"
MON,"November 13, 2009"
CHTR,"March 2, 2017"
HAE,"June 1, 2009"
DECK,"April 9, 2014"
DECK,"July 31, 2014"
AMZN,"June 16, 2010"
LLY,"September 23, 2009"
MTSI,"December 7, 2016"
ACOR,"August 5, 2016"
SSNI,"July 25, 2016"
PRKR,"October 28, 2013"
AVY,"May 8, 2008"
ENR,"November 3, 2008"
DECK,"June 5, 2012"
DECK,"January 9, 2015"
POWI,"December 17, 2015"
POWI,"February 3, 2011"
WHR,"October 28, 2016"
MPWR,"March 3, 2011"
DEPO,"April 11, 2017"
NATI,"December 29, 2011"
HELE,"October 29, 2012"
AAPL,"May 5, 2014"
EBAY,"June 12, 2008"
LLY,"April 22, 2009"
RMBS,"March 10, 2009"
MON,"August 1, 2012"
LLY,"May 22, 2017"
SUPN,"April 29, 2013"
MON,"September 30, 2009"
FMC,"February 4, 2010"
NKE,"May 15, 2013"
AAPL,"September 30, 2016"
POWI,"August 7, 2015"
DECK,"December 10, 2013"
AMGN,"October 2, 2008"
LKQ,"November 30, 2016"
SYK,"September 5, 2013"
HON,"February 6, 2014"
WHR,"July 15, 2016"
MDCO,"January 24, 2012"
FDX,"July 13, 2009"
NKE,"February 17, 2016"
SUPN,"May 31, 2013"
SPLS,"January 20, 2012"
MSFT,"July 24, 2008"
TGT,"July 29, 2015"
TWTR,"May 20, 2016"
AAPL,"March 20, 2015"
NKE,"February 26, 2008"
MON,"February 9, 2010"
MNTA,"October 28, 2011"
AAPL,"September 16, 2013"
ITW,"February 9, 2016"
AAPL,"March 10, 2011"
WHR,"January 27, 2017"
AAPL,"September 2, 2015"
CIX,"February 25, 2010"
MMM,"July 12, 2010"
ELY,"November 10, 2008"
AAPL,"January 5, 2011"
