Stock_Ticker,Decision_Date
GE,"October 22, 2015"
SPG,"May 21, 2013"
MSFT,"June 13, 2014"
AAPL,"September 21, 2016"
HPQ,"April 9, 2008"
BBT,"March 26, 2010"
TIME,"April 9, 2015"
MSFT,"July 23, 2008"
AVP,"November 18, 2011"
CSCO,"May 28, 2013"
CDW,"August 11, 2010"
TXN,"September 19, 2014"
MON,"March 14, 2014"
TGT,"February 11, 2009"
BBRY,"February 23, 2015"
MSFT,"May 15, 2008"
POWI,"January 26, 2011"
CME,"September 30, 2011"
CTXS,"September 26, 2014"
USB,"November 25, 2013"
SYX,"April 30, 2010"
PH,"March 17, 2011"
CNA,"October 22, 2015"
TXN,"August 6, 2015"
RTN,"March 30, 2017"
TXN,"July 7, 2015"
CCV,"February 21, 2017"
TMO,"September 17, 2012"
CSCO,"March 31, 2014"
NOK,"September 18, 2015"
MON,"August 21, 2008"
MON,"January 15, 2009"
AAPL,"September 14, 2016"
CIEN,"April 15, 2014"
HPE,"February 27, 2017"
BBBY,"April 9, 2015"
WDC,"June 8, 2017"
WDC,"July 26, 2011"
MGI,"September 30, 2009"
BBT,"August 3, 2011"
PHG,"September 19, 2014"
AAPL,"August 30, 2011"
GRMN,"September 17, 2012"
KEY,"September 27, 2010"
AAPL,"February 17, 2015"
BBY,"September 29, 2008"
CDW,"May 7, 2009"
IBM,"March 6, 2014"
INTC,"May 2, 2014"
NVDA,"March 8, 2010"
MU,"March 10, 2009"
GMED,"June 14, 2013"
NVDA,"September 4, 2015"
NTAP,"April 15, 2015"
AMZN,"September 29, 2008"
SNPS,"November 12, 2010"
DISH,"June 2, 2009"
GEH,"November 25, 2013"
RMBS,"March 21, 2012"
AMTD,"May 20, 2016"
CTXS,"April 28, 2008"
PH,"August 4, 2008"
SMCI,"March 1, 2011"
NOK,"June 13, 2014"
AAPL,"December 15, 2016"
CTAA,"May 20, 2016"
MON,"February 17, 2010"
BDX,"November 9, 2009"
UUU,"May 15, 2009"
CIX,"October 4, 2010"
BBBY,"July 14, 2016"
HUM,"November 25, 2013"
POWI,"March 4, 2014"
CAT,"November 25, 2013"
GE,"November 25, 2013"
KYO,"March 18, 2013"
ZION,"March 26, 2010"
BWA,"July 27, 2015"
GE,"May 3, 2011"
NVDA,"May 4, 2015"
SFLY,"August 22, 2012"
NVDA,"February 29, 2012"
T,"September 6, 2013"
BSX,"May 11, 2011"
HOLX,"October 18, 2011"
RHT,"September 30, 2011"
ALG,"January 27, 2012"
AAPL,"June 23, 2017"
ZION,"September 27, 2010"
TRV,"November 25, 2013"
DISH,"March 4, 2011"
CHTR,"March 2, 2017"
LLY,"April 21, 2017"
PHG,"March 6, 2014"
HPQ,"May 15, 2009"
IBM,"August 20, 2015"
MSFT,"September 6, 2016"
CFG,"March 26, 2010"
HON,"April 6, 2016"
MSFT,"March 20, 2015"
OIIM,"March 3, 2011"
BBRY,"February 26, 2016"
TXN,"December 14, 2015"
MSFT,"December 15, 2010"
SSNI,"July 25, 2016"
PRKR,"October 28, 2013"
T,"September 14, 2016"
ZION,"September 4, 2015"
CTXS,"June 18, 2012"
CGNX,"May 1, 2015"
GE,"June 17, 2011"
BBRY,"December 28, 2015"
AMPH,"May 9, 2016"
CCV,"March 2, 2017"
INTC,"March 6, 2014"
POWI,"December 17, 2015"
AMBA,"January 15, 2010"
CI,"November 25, 2013"
POWI,"February 3, 2011"
HPQ,"November 7, 2013"
MPWR,"March 3, 2011"
MMM,"October 22, 2008"
COST,"June 30, 2009"
NTAP,"September 25, 2014"
HAS,"March 24, 2008"
AAPL,"May 5, 2017"
RMBS,"March 10, 2009"
MON,"August 1, 2012"
CFR,"August 3, 2011"
IBM,"November 25, 2014"
BBRY,"February 13, 2015"
SATS,"January 15, 2010"
INTC,"June 13, 2013"
AAPL,"September 30, 2016"
TGT,"September 8, 2009"
POWI,"August 7, 2015"
DECK,"December 10, 2013"
BCR,"July 30, 2008"
CSCO,"May 20, 2011"
SYK,"November 11, 2016"
BKS,"January 4, 2017"
XLNX,"August 30, 2013"
LPL,"July 8, 2010"
INTC,"October 5, 2010"
IBM,"February 18, 2016"
INTC,"May 9, 2014"
BDX,"May 19, 2010"
SYK,"September 5, 2013"
NTGR,"September 25, 2014"
IBKR,"June 29, 2010"
ABT,"May 22, 2012"
COST,"July 16, 2009"
ZION,"August 2, 2011"
CAJ,"June 19, 2017"
HPE,"May 26, 2017"
ILMN,"June 5, 2013"
CFR,"March 26, 2010"
HON,"February 6, 2014"
NVDA,"September 28, 2015"
NOK,"May 5, 2017"
LMT,"February 6, 2014"
FFIV,"September 7, 2016"
INFN,"November 20, 2015"
WMT,"March 27, 2014"
AAPL,"June 12, 2017"
DISH,"February 8, 2010"
FUN,"March 13, 2017"
SPLS,"January 20, 2012"
MSFT,"July 24, 2008"
INTC,"August 20, 2015"
BSX,"February 11, 2008"
WMT,"September 6, 2012"
TWX,"November 4, 2011"
BSX,"August 26, 2015"
KYO,"July 23, 2012"
UUU,"May 12, 2009"
SYMC,"March 24, 2016"
WMT,"July 7, 2009"
PII,"September 17, 2009"
VZ,"November 25, 2013"
XLNX,"September 3, 2013"
VAR,"April 26, 2012"
FOSL,"March 28, 2016"
EA,"April 24, 2015"
CSCO,"December 29, 2010"
WHR,"March 11, 2010"
ILMN,"July 1, 2013"
MU,"May 8, 2013"
XLNX,"October 2, 2013"
YHOO,"November 4, 2011"
CSCO,"March 22, 2013"
DUK,"December 21, 2016"
AAPL,"September 2, 2015"
AAPL,"May 5, 2014"
WMT,"April 26, 2016"
AKAM,"February 29, 2008"
AMZN,"January 20, 2016"
IPXL,"November 30, 2012"
CDW,"November 19, 2008"
VZ,"September 14, 2016"
HPQ,"March 31, 2009"
AAPL,"October 26, 2015"
SNPS,"December 19, 2014"
PHG,"November 7, 2012"
CIX,"February 25, 2010"
RTEC,"March 5, 2009"
AAPL,"October 25, 2011"
RNWK,"December 14, 2009"
BBY,"January 9, 2015"
STI,"October 22, 2015"
STT,"November 25, 2013"
BBRY,"January 20, 2016"
CBS,"September 15, 2014"
CSCO,"April 30, 2014"
